Type,Text,URL
a,,//www.science.gov/
img,,https://www.science.gov/scigov/desktop/en/images/SciGov_logo.png
a,Topics by Science.gov,#
a,Home,//www.science.gov/
a,About Science.gov,//www.science.gov/faq.html
a,Open Science & Public Access,//www.science.gov/Open-Science-Public-Access.html
a,Scientific Integrity,//www.science.gov/Scientific-Integrity.html
h4,Sample records forn-vinyl pyrrolidone nvp,
a,«,#
a,2,#
a,3,#
a,4,#
a,5,#
a,»,#
p,Determination ofN-vinyl-2-pyrrolidoneandN-methyl-2-pyrrolidonein drugs using polypyrrole-based headspace solid-phase microextraction and gas chromatography-nitrogen-phosphorous detection.,
a,Determination ofN-vinyl-2-pyrrolidoneandN-methyl-2-pyrrolidonein drugs using polypyrrole-based headspace solid-phase microextraction and gas chromatography-nitrogen-phosphorous detection.,https://www.ncbi.nlm.nih.gov/pubmed/17386757
p,PubMed,
a,PubMed,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?DB=pubmed
p,"Mehdinia, Ali; Ghassempour, Alireza; Rafati, Hasan; Heydari, Rouhollah",
p,2007-03-21,
p,"A headspace solid-phase microextraction and gas chromatography-nitrogen-phosphorous detection (HS-SPME-GC-NPD) method using polypyrrole (PPy) fibers has been introduced to determine two derivatives ofpyrrolidone;N-vinyl-2-pyrrolidone(NVP) andN-methyl-2-pyrrolidone(NMP). Two types of PPy fibers, prepared using organic and aqueous media, were compared in terms of extraction efficiency and thermal stability. It was found that PPy film prepared using organic medium (i.e. acetonitrile) had higher extraction efficiency and more thermal stability compared to the film prepared in aqueous medium. To enhance the sensitivity of HS-SPME, the effects of pH, ionic strength, extraction time, extraction temperature and the headspace volume on the extraction efficiency were optimized. Using the results of this research, high sensitivity and selectivity had been achieved due to the combination of the high extraction efficiency of PPy film prepared in organic medium and the high sensitivity and selectivity of nitrogen-phosphorous detection. Linear range of the analytes was found to be between 1.0 and 1000 microg L(-1) with regression coefficients (R(2)) of 0.998 and 0.997 forNVPand NMP, consequently. Limits of detection (LODs) were 0.074 and 0.081 microg L(-1) forNVPand NMP, respectively. Relative standard deviation (R.S.D.) for five replications of analyses was found to be less than 6.0%. In real samples the mean recoveries were 94.81% and 94.15% forNVPand NMP, respectively. The results demonstrated the suitability of the HS-SPME technique for analyzingNVPand NMP in two different pharmaceutical matrices. In addition, the method was used for simultaneous detection ofNVP, 2-pyrrolidone(2-Pyr), gamma-butyrolactone (GBL) and ethanolamine (EA) compounds.",
p,Mucoadhesive hydrogel microparticles based on poly (methacrylic acid-vinylpyrrolidone)-chitosan for oral drug delivery.,
a,Mucoadhesive hydrogel microparticles based on poly (methacrylic acid-vinylpyrrolidone)-chitosan for oral drug delivery.,https://www.ncbi.nlm.nih.gov/pubmed/21067275
p,PubMed,
a,PubMed,https://www.ncbi.nlm.nih.gov/entrez/query.fcgi?DB=pubmed
