Type,Text,URL
p,Warning:The NCBI web site requires JavaScript to function.more...,
a,more...,/guide/browsers/#enablejs
img,,https://www.ncbi.nlm.nih.gov/coreutils/uswds/img/favicons/favicon-57.png
p,An official website of the United States government,
img,,https://www.ncbi.nlm.nih.gov/coreutils/uswds/img/icon-dot-gov.svg
p,"The .gov means it's official.Federal government websites often end in .gov or .mil. Before
							sharing sensitive information, make sure you're on a federal
							government site.",
img,,https://www.ncbi.nlm.nih.gov/coreutils/uswds/img/icon-https.svg
p,"The site is secure.Thehttps://ensures that you are connecting to the
							official website and that any information you provide is encrypted
							and transmitted securely.",
a,,/
img,,https://www.ncbi.nlm.nih.gov/coreutils/nwds/img/logos/AgencyLogo.svg
a,Log in,https://account.ncbi.nlm.nih.gov
h4,Account,
a,Dashboard,/myncbi/
a,Publications,/myncbi/collections/bibliography/
a,Account settings,/account/settings/
a,Log out,/account/signout/
a,Access keys,https://www.ncbi.nlm.nih.gov/guide/browsers/#ncbi_accesskeys
a,NCBI Homepage,https://www.ncbi.nlm.nih.gov
a,MyNCBI Homepage,/myncbi/
a,Main Content,#maincontent
a,Main Navigation,#
h1,Bookshelf,
a,Bookshelf,/books/
h2,,
a,Browse Titles,/books/browse/
a,Advanced,/books/advanced/
a,Help,/books/NBK3833/
a,Disclaimer,https://www.ncbi.nlm.nih.gov/books/about/disclaimer/
p,"NCBI Bookshelf. A service of the National Library of Medicine, National Institutes of Health.",
p,"IARC Working Group on the Evaluation of Carcinogenic Risks to Humans. Re-evaluation of Some Organic Chemicals, Hydrazine and Hydrogen Peroxide. Lyon (FR): International Agency for Research on Cancer; 1999. (IARC Monographs on the Evaluation of Carcinogenic Risks to Humans, No. 71.)",
a,,/books/n/iarcmono71/
img,,/corehtml/pmc/pmcgifs/bookshelf/thumbs/th-iarcmono71-lrg.png
h2,"Re-evaluation of Some Organic Chemicals, Hydrazine and Hydrogen Peroxide.",
a,Show details,#__NBK498761_dtls__
